ID,LastName,FirstName,Title,TitleOfCourtesy,BirthDate,HireDate,Address,City,Region,PostalCode,Country,HomePhone,Extension,Notes,ReportsTo
1,Test22,Employee,Sales Representative,Ms.,1948-12-08,1992-05-01,"507 - 20th Ave. E. Apt. 2A",Seattle,WA,98122,USA,(206) 555-9857,5467,"Education includes a BA in psychology from Colorado State University in 1970. She also completed ""The Art of the Cold Call."" Nancy is a member of Toastmasters International.",2
2,Fuller,Andrew,Vice President Sales,Dr.,1952-02-19,1992-08-14,"908 W. Capital Way",Tacoma,WA,98401,USA,(206) 555-9482,3457,"Andrew received his BTS commercial in 1974 and a Ph.D. in international marketing from the University of Dallas in 1981. He is fluent in French and Italian and reads German. He joined the company as a sales representative, was promoted to sales manager in January 1992 and to vice president of sales in March 1993. Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.",null
3,Leverling,Janet,Sales Representative,Ms.,1963-08-30,1992-04-01,"722 Moss Bay Blvd.",Kirkland,WA,98033,USA,(206) 555-3412,3355,"Janet has a BS degree in chemistry from Boston College (1984). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.",2
4,Peacock,Margaret,Sales Representative,Mrs.,1937-09-19,1993-05-03,"4110 Old Redmond Rd.",Redmond,WA,98052,USA,(206) 555-8122,5176,"Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966). She was assigned to the London office temporarily from July through November 1992.",2
5,Buchanan,Steven,Sales Manager,Mr.,1955-03-04,1993-10-17,"14 Garrett Hill",London,,SW1 8JR,UK,(71) 555-4848,3453,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976. Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London. He was promoted to sales manager in March 1993. Mr. Buchanan has completed the courses ""Successful Telemarketing"" and ""International Sales Management."" He is fluent in French.",2
6,Adams,John,Sales Representative,Mr.,1980-01-15,2015-05-01,"123 Elm St.",Madison,WI,53703,USA,(608) 555-1234,1234,"John has over 10 years of experience in sales and has a degree in business administration from the University of Wisconsin.",2
7,Brown,Linda,Sales Associate,Ms.,1990-02-20,2018-06-10,"456 Maple Ave.",Chicago,IL,60601,USA,(312) 555-5678,5678,"Linda started her career as an intern before moving into a full-time role due to her exceptional performance.",1
8,Clark,Mark,Sales Manager,Mr.,1975-03-25,2016-07-15,"789 Oak St.",San Francisco,CA,94102,USA,(415) 555-9101,9101,"Mark has a strong background in technology sales and has led several successful sales teams.",3
9,Ellis,Karen,Sales Consultant,Ms.,1978-04-30,2019-09-01,"321 Birch Blvd.",Austin,TX,73301,USA,(512) 555-2345,2345,"Karen is an expert in customer relationship management with a passion for helping others.",3
10,Harris,Mike,Senior Sales Associate,Mr.,1985-05-05,2020-02-20,"654 Pine St.",Boston,MA,02108,USA,(617) 555-6789,6789,"Mike has extensive knowledge of the market and focuses on customer satisfaction.",4
